symbol,timeframe,side,entry_time,entry_price,size,stop_loss,take_profit,exit_time,exit_price,pnl,r_multiple,status,signal_time,strategy_version,triangle_type,risk_amount,score_total,score_trend_quality,score_zone_quality,score_risk_quality
BTC,15m,short,1782065700000,63940.014,0.009128468929604658,64306.0,63304.0,1782084600000,63335.651999999995,4.935983757945936,1.4774449487139194,closed,1782064800000,triangle-trend-zones-15m-scoring-v1,descending,3.048908622487956,66.61898837032146,10.0,6.0,20.0
BTC,15m,short,1782125100000,64012.9775,0.009634328848307526,64363.0,63409.0,1782126000000,64395.1815,-4.300842238444389,-1.2753696676642188,closed,1782124200000,triangle-trend-zones-15m-scoring-v1,symmetrical,3.0637165737617935,70.83927187513812,8.0,6.0,20.0
BTC,15m,long,1782128700000,64631.299499999994,0.008618118776967401,64009.0,65779.0,1782166500000,63976.995500000005,-6.1930503692514165,-1.1547625339567145,closed,1782127800000,triangle-trend-zones-15m-scoring-v1,symmetrical,5.084690078410767,92.90935320387375,20.0,16.0,20.0
BTC,15m,short,1782167400000,63982.9925,0.0047527192726312005,64653.0,62739.0,1782195300000,62770.36949999999,5.4620451293117975,1.7152738126065863,closed,1782166500000,triangle-trend-zones-15m-scoring-v1,descending,3.0322348959387058,72.952217780316,13.0,6.0,20.0
BTC,15m,short,1782196200000,62702.633,0.0033828462398209514,64236.0,59730.0,1782319500000,59759.865,9.747795763026243,1.8792218373031417,closed,1782195300000,triangle-trend-zones-15m-scoring-v1,descending,5.081035052211069,80.09164994636106,17.0,6.0,20.0
BTC,15m,short,1782320400000,59792.089,0.0015203835302389447,63196.0,53074.0,1783187100000,63227.598,-5.3168098545926386,-1.0273531956329052,closed,1782319500000,triangle-trend-zones-15m-scoring-v1,ascending,5.1297740310262,90.20699497457193,17.0,20.0,20.0
BTC,15m,short,1783204200000,63167.4005,0.011776592265584392,63460.0,62680.0,1783217700000,62711.34,4.629627256051728,1.343546826805963,closed,1783203300000,triangle-trend-zones-15m-scoring-v1,ascending,3.061913989051942,74.44406383191962,8.0,13.0,20.0
BTC,15m,short,1783219500000,62608.68,0.00395347412701812,63419.0,61085.0,1783289700000,63450.7095,-3.578128109863967,-1.1169157798770821,closed,1783218600000,triangle-trend-zones-15m-scoring-v1,ascending,3.0758028708200973,74.10729973766091,13.0,6.0,20.0
BTC,15m,long,1783290600000,63747.85799999999,0.004548929187430255,62592.0,65961.0,1783338300000,62560.704000000005,-5.6875638327265925,-1.0817144329147659,closed,1783289700000,triangle-trend-zones-15m-scoring-v1,descending,5.108447477484176,77.99075537748006,17.0,6.0,20.0
BTC,15m,short,1783369800000,63720.124,0.014514313309487265,63962.0,63332.0,1783371600000,63993.981,-4.901687567001578,-1.3962280362665216,closed,1783368900000,triangle-trend-zones-15m-scoring-v1,ascending,3.0480057949923256,73.41431926731721,10.0,13.0,20.0
BTC,15m,long,1783372500000,64348.157999999996,0.006887603842623345,63582.0,65784.0,1783390500000,63550.209,-5.936413240624635,-1.1249614093959706,closed,1783371600000,triangle-trend-zones-15m-scoring-v1,ascending,5.055501220485535,79.39583638131793,17.0,6.0,20.0
BTC,15m,short,1783391400000,63539.2145,0.003967751963907167,64331.0,62051.0,1783499400000,62082.025499999996,5.532547555674717,1.7610557152158115,closed,1783390500000,triangle-trend-zones-15m-scoring-v1,symmetrical,3.015491492569447,73.09597077535099,10.0,6.0,20.0
BTC,15m,short,1783502100000,61850.0595,0.004799128102621828,62933.0,59774.0,1783579500000,62964.466499999995,-5.647682401129457,-1.0866841373094784,closed,1783501200000,triangle-trend-zones-15m-scoring-v1,descending,5.053481892060785,83.27940606396234,20.0,6.0,20.0
