time,equity
1769979600000,1020.1260407162333
1769983200000,1020.1260407162333
1769986800000,1020.1260407162333
1769990400000,1020.1260407162333
1769994000000,1020.1260407162333
1769997600000,1020.1260407162333
1770001200000,1020.1260407162333
1770004800000,1020.1260407162333
1770008400000,1020.1260407162333
1770012000000,1020.1260407162333
1770015600000,1020.1260407162333
1770019200000,1020.1260407162333
1770022800000,1020.1260407162333
1770026400000,1020.1260407162333
1770030000000,1020.1260407162333
1770033600000,1020.1260407162333
1770037200000,1020.1260407162333
1770040800000,1014.6155103428342
1770044400000,1014.6155103428342
1770048000000,1014.6155103428342
1770051600000,1014.6155103428342
1770055200000,1014.6155103428342
1770058800000,1014.6155103428342
1770062400000,1014.6155103428342
1770066000000,1014.6155103428342
1770069600000,1014.6155103428342
1770073200000,1014.6155103428342
1770076800000,1014.6155103428342
1770080400000,1014.6155103428342
1770084000000,1014.6155103428342
1770087600000,1014.6155103428342
1770091200000,1014.6155103428342
1770094800000,1014.6155103428342
1770098400000,1014.6155103428342
1770102000000,1014.6155103428342
1770105600000,1014.6155103428342
1770109200000,1014.6155103428342
1770112800000,1014.6155103428342
1770116400000,1014.6155103428342
1770120000000,1014.6155103428342
1770123600000,1014.6155103428342
1770127200000,1014.6155103428342
1770130800000,1014.6155103428342
1770134400000,1014.6155103428342
1770138000000,1014.6155103428342
1770141600000,1024.3517681835053
1770145200000,1024.3517681835053
1770148800000,1024.3517681835053
1770152400000,1024.3517681835053
1770156000000,1024.3517681835053
1770159600000,1024.3517681835053
1770163200000,1024.3517681835053
1770166800000,1024.3517681835053
1770170400000,1024.3517681835053
1770174000000,1024.3517681835053
1770177600000,1024.3517681835053
1770181200000,1024.3517681835053
1770184800000,1024.3517681835053
1770188400000,1024.3517681835053
1770192000000,1024.3517681835053
1770195600000,1024.3517681835053
1770199200000,1024.3517681835053
1770202800000,1024.3517681835053
1770206400000,1024.3517681835053
1770210000000,1024.3517681835053
1770213600000,1024.3517681835053
1770217200000,1024.3517681835053
1770220800000,1024.3517681835053
1770224400000,1024.3517681835053
1770228000000,1024.3517681835053
1770231600000,1024.3517681835053
1770235200000,1024.3517681835053
1770238800000,1024.3517681835053
1770242400000,1024.3517681835053
1770246000000,1024.3517681835053
1770249600000,1024.3517681835053
1770253200000,1024.3517681835053
1770256800000,1024.3517681835053
1770260400000,1024.3517681835053
1770264000000,1024.3517681835053
1770267600000,1024.3517681835053
1770271200000,1024.3517681835053
1770274800000,1024.3517681835053
1770278400000,1024.3517681835053
1770282000000,1024.3517681835053
1770285600000,1024.3517681835053
1770289200000,1024.3517681835053
1770292800000,1024.3517681835053
1770296400000,1024.3517681835053
1770300000000,1024.3517681835053
1770303600000,1024.3517681835053
1770307200000,1024.3517681835053
1770310800000,1024.3517681835053
1770314400000,1024.3517681835053
1770318000000,1024.3517681835053
1770321600000,1024.3517681835053
1770325200000,1024.3517681835053
1770328800000,1024.3517681835053
1770332400000,1024.3517681835053
1770336000000,1034.478166145088
1770339600000,1034.478166145088
1770343200000,1034.478166145088
1770346800000,1034.478166145088
1770350400000,1034.478166145088
1770354000000,1034.478166145088
1770357600000,1034.478166145088
1770361200000,1034.478166145088
1770364800000,1034.478166145088
1770368400000,1034.478166145088
1770372000000,1034.478166145088
1770375600000,1034.478166145088
1770379200000,1034.478166145088
1770382800000,1034.478166145088
1770386400000,1034.478166145088
1770390000000,1034.478166145088
1770393600000,1034.478166145088
1770397200000,1034.478166145088
1770400800000,1034.478166145088
1770404400000,1034.478166145088
1770408000000,1034.478166145088
1770411600000,1034.478166145088
1770415200000,1034.478166145088
1770418800000,1034.478166145088
1770422400000,1034.478166145088
1770426000000,1034.478166145088
1770429600000,1034.478166145088
1770433200000,1034.478166145088
1770436800000,1034.478166145088
1770440400000,1034.478166145088
1770444000000,1034.478166145088
1770447600000,1034.478166145088
1770451200000,1034.478166145088
1770454800000,1034.478166145088
1770458400000,1034.478166145088
1770462000000,1034.478166145088
1770465600000,1034.478166145088
1770469200000,1034.478166145088
1770472800000,1034.478166145088
1770476400000,1034.478166145088
1770480000000,1034.478166145088
1770483600000,1034.478166145088
1770487200000,1034.478166145088
1770490800000,1034.478166145088
1770494400000,1034.478166145088
1770498000000,1034.478166145088
1770501600000,1034.478166145088
1770505200000,1034.478166145088
1770508800000,1034.478166145088
1770512400000,1034.478166145088
1770516000000,1034.478166145088
1770519600000,1034.478166145088
1770523200000,1034.478166145088
1770526800000,1034.478166145088
1770530400000,1034.478166145088
1770534000000,1034.478166145088
1770537600000,1034.478166145088
1770541200000,1034.478166145088
1770544800000,1034.478166145088
1770548400000,1034.478166145088
1770552000000,1034.478166145088
1770555600000,1034.478166145088
1770559200000,1034.478166145088
1770562800000,1034.478166145088
1770566400000,1034.478166145088
1770570000000,1034.478166145088
1770573600000,1034.478166145088
1770577200000,1034.478166145088
1770580800000,1034.478166145088
1770584400000,1034.478166145088
1770588000000,1034.478166145088
1770591600000,1029.1074918916422
1770595200000,1029.1074918916422
1770598800000,1029.1074918916422
1770602400000,1029.1074918916422
1770606000000,1029.1074918916422
1770609600000,1029.1074918916422
1770613200000,1029.1074918916422
1770616800000,1029.1074918916422
1770620400000,1029.1074918916422
1770624000000,1029.1074918916422
1770627600000,1029.1074918916422
1770631200000,1029.1074918916422
1770634800000,1029.1074918916422
1770638400000,1029.1074918916422
1770642000000,1029.1074918916422
1770645600000,1029.1074918916422
1770649200000,1029.1074918916422
1770652800000,1029.1074918916422
1770656400000,1029.1074918916422
1770660000000,1029.1074918916422
1770663600000,1029.1074918916422
1770667200000,1029.1074918916422
1770670800000,1029.1074918916422
1770674400000,1029.1074918916422
1770678000000,1029.1074918916422
1770681600000,1029.1074918916422
1770685200000,1029.1074918916422
1770688800000,1029.1074918916422
1770692400000,1029.1074918916422
1770696000000,1029.1074918916422
1770699600000,1029.1074918916422
1770703200000,1029.1074918916422
1770706800000,1029.1074918916422
1770710400000,1029.1074918916422
1770714000000,1029.1074918916422
1770717600000,1029.1074918916422
1770721200000,1029.1074918916422
1770724800000,1029.1074918916422
1770728400000,1029.1074918916422
1770732000000,1029.1074918916422
1770735600000,1029.1074918916422
1770739200000,1029.1074918916422
1770742800000,1029.1074918916422
1770746400000,1029.1074918916422
1770750000000,1029.1074918916422
1770753600000,1029.1074918916422
1770757200000,1029.1074918916422
1770760800000,1029.1074918916422
1770764400000,1029.1074918916422
1770768000000,1029.1074918916422
1770771600000,1029.1074918916422
1770775200000,1029.1074918916422
1770778800000,1029.1074918916422
1770782400000,1029.1074918916422
1770786000000,1029.1074918916422
1770789600000,1029.1074918916422
1770793200000,1029.1074918916422
1770796800000,1029.1074918916422
1770800400000,1029.1074918916422
1770804000000,1029.1074918916422
1770807600000,1029.1074918916422
1770811200000,1029.1074918916422
1770814800000,1029.1074918916422
1770818400000,1029.1074918916422
1770822000000,1029.1074918916422
1770825600000,1029.1074918916422
1770829200000,1029.1074918916422
1770832800000,1029.1074918916422
1770836400000,1029.1074918916422
1770840000000,1029.1074918916422
1770843600000,1029.1074918916422
1770847200000,1029.1074918916422
1770850800000,1029.1074918916422
1770854400000,1029.1074918916422
1770858000000,1029.1074918916422
1770861600000,1029.1074918916422
1770865200000,1029.1074918916422
1770868800000,1029.1074918916422
1770872400000,1029.1074918916422
1770876000000,1029.1074918916422
1770879600000,1029.1074918916422
1770883200000,1029.1074918916422
1770886800000,1029.1074918916422
1770890400000,1029.1074918916422
1770894000000,1029.1074918916422
1770897600000,1029.1074918916422
1770901200000,1029.1074918916422
1770904800000,1029.1074918916422
1770908400000,1029.1074918916422
1770912000000,1029.1074918916422
1770915600000,1029.1074918916422
1770919200000,1029.1074918916422
1770922800000,1029.1074918916422
1770926400000,1029.1074918916422
1770930000000,1029.1074918916422
1770933600000,1029.1074918916422
1770937200000,1029.1074918916422
